"titulo","titulo_fonte","genero","genero_fonte","diretor","diretor_fonte","dataLancamento","dataLancamento_fonte","nota","nota_fonte","atores","atores_fonte","distribuidora","distribuidora_fonte","captado","captado_fonte","maximo_numero_de_salas","maximo_numero_de_salas_fonte","bilheteria","bilheteria_fonte","publico","publico_fonte","classificacao_indicativa","classificacao_indicativa_fonte","titulo_filme_anterior","publico_filme_anterior","fonte_publico_filme_anterior","nome_programaTv","pontos_ibobeSP_Ano_do_lancamento","fonte_pontos_ibobeSP_Ano_do_lancamento","relancamento","temFilmeAnterior","filmeBaseadoSerieTV"
"5x favela - agora por nos","filmeB","Ação","ministerioDaJustica","cacau amaral / rodrigo felha / cadu barcellos / luciano vidigal","ministerioDaJustica",2010-08-27,"filmeB","3","imdb","joao carlos artigos","ministerioDaJustica","columbia","ministerioDaJustica",4506674.00508567,"ancine",40,"filmeB",1674279.7395436,"ancine",162390,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"5x pacificacao","filmeB","Documentário","ministerioDaJustica","cadu barcellos / luciano vidigal / rodrigo felha / wagner novais","ministerioDaJustica",2012-11-16,"filmeB","2","imdb","documentario",NA,"h2o_films / luz_magica","ministerioDaJustica",NA,NA,16,"ancine",43347.7025846123,"ancine",2973,"filmeB","10","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a alegria","filmeB","Drama","ministerioDaJustica","felipe braganca / marina meliande","ministerioDaJustica",2011-08-19,"filmeB","3","imdb","tuana medina / flora dias","ministerioDaJustica","spectateur","ministerioDaJustica",849423.22720856,"ancine",8,"ancine",32726.7192193434,"ancine",3321,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a alma do osso","filmeB","Documentário","ministerioDaJustica","cao guimaraes","ministerioDaJustica",2010-05-28,"filmeB","4","imdb","documentario",NA,"filmes_do_rio_de_janeiro","ministerioDaJustica",221723.579764134,"ancine",3,"ancine",4872.63434282657,"ancine",344,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a antropologa","filmeB","Drama","ministerioDaJustica","zeca pires","ministerioDaJustica",2011-04-29,"filmeB","3","imdb","larissa bracher / eduardo bolina","ministerioDaJustica","imagem","ministerioDaJustica",758682.055025124,"ancine",2,"filmeB",74346.7158402736,"ancine",6312,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a beira do caminho","filmeB","Drama","ministerioDaJustica","breno silveira","ministerioDaJustica",2012-08-10,"filmeB","3","imdb","joao miguel / dira paes / angelo antonio","ministerioDaJustica","fox","ministerioDaJustica",6264620.35022976,"ancine",173,"filmeB",1619246.60917887,"ancine",168299,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"aboio","filmeB","Documentário","ministerioDaJustica","marilia rocha de siqueira","ministerioDaJustica",2007-09-14,"filmeB","3","folha","documentario",NA,"moviemobz","ministerioDaJustica",85153.3820737596,"ancine",2,"ancine",8330.83921288281,"ancine",857,"ancine","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"abril despedacado","filmeB","Drama","ministerioDaJustica","walter salles","ministerioDaJustica",2002-04-01,"adorocinema","4","imdb","jose dumont / rodrigo santoro / rita assemany","ministerioDaJustica","imagem","ministerioDaJustica",14189191.5113736,"ancine",32,"filmeB",4280747.89408839,"ancine",352055,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"acacio","filmeB","Documentário","ministerioDaJustica","marilia rocha de siqueira","ministerioDaJustica",2010-11-19,"filmeB","4","filmow","documentario",NA,"lume","ministerioDaJustica",121133.372229506,"ancine",1,"filmeB",4088.25131274582,"ancine",277,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"ação entre amigos","ancine","Drama","ministerioDaJustica","beto brant","ministerioDaJustica",1998-09-17,"folha","4","imdb","leonardo villar / zecarlos machado / caca amaral","ministerioDaJustica","riofilme","ministerioDaJustica",3246104.50213359,"ancine",3,"ancine",508517.120435003,"ancine",38957,"ancine","14","ministerioDaJustica",NA,0,NA,NA,0,NA,TRUE,FALSE,FALSE
